File,Frame,X,Y,Z,Reliability
-,543,0.302165,0.154694,0.057149,0.84
-,544,0.302379,0.144615,0.055729,0.89
-,545,0.302872,0.134775,0.054401,0.78
-,546,0.302871,0.124708,0.053096,0.9
-,547,0.302933,0.114469,0.051891,0.9
-,548,0.303265,0.104383,0.050764,0.92
-,549,0.303313,0.093799,0.050038,1.03
-,550,0.3033,0.083112,0.049247,0.99
-,551,0.303456,0.072266,0.048629,1
-,552,0.303511,0.061611,0.047873,1.07
-,553,0.303305,0.05086,0.047099,0.77
-,554,0.303268,0.040005,0.047051,1.07
-,555,0.303233,0.029216,0.046905,0.96
-,556,0.303264,0.018828,0.046651,1.15
-,557,0.303222,0.008407,0.04643,1.12
-,558,0.30317,-0.002435,0.046128,1.08
-,559,0.303292,-0.012763,0.046171,1.18
-,560,0.303249,-0.023538,0.045912,0.8
-,561,0.303344,-0.03433,0.045875,1.17
-,562,0.303347,-0.045369,0.045515,0.68
-,563,0.303602,-0.05629,0.045273,0.62
-,564,0.303661,-0.067345,0.045214,1.03
-,565,0.303737,-0.0784,0.045067,1.04
-,566,0.30377,-0.089746,0.044915,1.04
-,567,0.303703,-0.101193,0.044665,1.11
-,568,0.303772,-0.112467,0.044489,0.61
-,569,0.303879,-0.123907,0.044467,0.74
-,570,0.303996,-0.135368,0.04416,0.74
-,571,0.304236,-0.146744,0.044092,0.89
-,572,0.304209,-0.15823,0.043821,0.82
-,573,0.304418,-0.170155,0.043473,0.77
-,574,0.304431,-0.181697,0.043305,0.81
-,575,0.304595,-0.193634,0.043122,1.14
-,576,0.304653,-0.205525,0.042796,0.84
-,577,0.304842,-0.217586,0.042616,0.86
-,578,0.304593,-0.229481,0.042417,0.99
-,579,0.304947,-0.241738,0.042143,0.91
-,580,0.305074,-0.253935,0.041915,0.88
-,581,0.305266,-0.266294,0.041858,1.16
-,582,0.305366,-0.278712,0.041709,1.2
-,583,0.305431,-0.291111,0.041498,0.97
-,584,0.305526,-0.303589,0.041487,1.05
-,585,0.305669,-0.316662,0.040872,0.76
-,586,0.305982,-0.329471,0.040784,1.15
-,587,0.305868,-0.342239,0.040586,0.97
-,588,0.305839,-0.355089,0.040636,1
-,589,0.305769,-0.368158,0.040481,0.93
-,590,0.306332,-0.381408,0.040364,0.91
-,591,0.306299,-0.394856,0.040309,0.88
